"laufnummer","id_modulgruppe","semester"
"B-LS-BZ 043","92",
"B-LS-PT 021","87",
"B-LS-MI 006","83",
"B-LS-PT 008","85",
"B-LS-UT 008","84",
"B-LS-UT 003","84",
"B-LS-PT 019","85",
"B-LS-CH 30","118",
"B-LS-UT 014","95",
"B-LS-UT 016","95",
"B-LS-BZ 003","79",
"B-LS-MT 006","77",
"B-LS-MT 008","68",
"B-LS-UT 006","95",
"B-LS-UT 007","95",
"B-LS-UT 011","95",
"B-LS-UT 013","95",
"MAS-U-F 00 010","61",
"M-SLS-MSc 0040","134",
"M-SLS-MSc 0050","136",
"M-SLS-MSc 0200","138",
"M-SLS-MSc C3","134",
"M-SLS-MSc D1","136",
"M-SLS-MSc D2","137",
"M-SLS-MSc D3","135",
"M-SLS-MSc E1","138",
"B-LS-UT 031","99",
"B-LS-CH 013","101",
"B-LS-PT 010","146",
"B-LS-UT 028","94",
"B-LS-UT 022","94",
